                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 74.152,                      0,                  2e-05,                0.00424,                  1e-05,                      0,                  5.135,                 4.2869,                 5.5699,             0.00055428,             0.00055428,             0.00055428
                      2,                      0,                 10.524,                      0,                  2e-05,                0.00424,                  1e-05,                      0,                  4.667,                 5.6374,                 5.4569,              0.0010733,              0.0010733,              0.0010733
                      3,                      0,                 0.1196,                      0,                  2e-05,                0.00424,                  1e-05,                      0,                 4.6572,                  7.272,                 5.0176,              0.0015557,              0.0015557,              0.0015557
                      4,                      0,                0.00455,                      0,                  2e-05,                0.00424,                  1e-05,                      0,                 4.9311,                 8.1097,                 5.6944,               0.001502,               0.001502,               0.001502
                      5,                      0,                0.00088,                      0,                  2e-05,                0.00424,                  1e-05,                      0,                 5.0132,                 7.9815,                 5.4207,               0.001502,               0.001502,               0.001502
                      6,                      0,                0.00075,                      0,                  2e-05,                0.00424,                  1e-05,                      0,                 4.9989,                 8.1896,                 5.3887,               0.001447,               0.001447,               0.001447
                      7,                      0,                0.00051,                      0,                  2e-05,                0.00424,                  1e-05,                      0,                 4.6724,                  8.331,                 5.3106,              0.0013919,              0.0013919,              0.0013919
                      8,                      0,                  5e-05,                      0,                  2e-05,                0.00424,                  1e-05,                      0,                 4.6568,                 8.4759,                 5.4801,              0.0013369,              0.0013369,              0.0013369
                      9,                      0,                      0,                      0,                  2e-05,                0.00424,                  1e-05,                      0,                 4.5986,                 8.5018,                  6.254,              0.0012819,              0.0012819,              0.0012819
                     10,                      0,                      0,                      0,                    0.1,                0.00073,                 0.0502,                 0.0251,                 5.0501,                 8.5961,                 5.7228,              0.0012269,              0.0012269,              0.0012269
                     11,                      0,                      0,                      0,                    0.1,                0.00073,                 0.0502,                 0.0251,                 5.6213,                 8.6498,                 5.3875,              0.0011719,              0.0011719,              0.0011719
                     12,                      0,                      0,                      0,                   0.23,                0.01676,                 0.1252,                0.06079,                 3.9512,                 8.0072,                 17.983,              0.0011169,              0.0011169,              0.0011169
                     13,                      0,                      0,                      0,                0.19512,                0.01166,                 0.1046,                0.04298,                 1.2294,                 5.9268,                 21.718,              0.0010619,              0.0010619,              0.0010619
                     14,                      0,                      0,                      0,                0.24038,                0.01822,                0.13178,                0.05307,                 1.6299,                 8.2027,                 33.538,              0.0010069,              0.0010069,              0.0010069
                     15,                      0,                      0,                      0,                0.14935,                0.01676,                0.08201,                0.03026,                 2.0184,                 7.4264,                 38.631,             0.00095186,             0.00095186,             0.00095186
                     16,                      0,                      0,                      0,                0.10938,                0.01531,                 0.0596,                0.02666,                 1.5264,                 8.7885,                 36.068,             0.00089685,             0.00089685,             0.00089685
                     17,                      0,                      0,                      0,                0.30296,                0.08561,                0.19213,                0.07011,                  2.736,                 5.2029,                 33.494,             0.00084184,             0.00084184,             0.00084184
                     18,                      0,                      0,                      0,                0.28963,                0.08585,                0.18946,                0.06937,                 2.6533,                 4.9346,                 36.361,             0.00078682,             0.00078682,             0.00078682
                     19,                      0,                      0,                      0,                0.12026,                0.01525,                0.05944,                0.02646,                 2.2972,                  3.886,                 19.086,             0.00073181,             0.00073181,             0.00073181
                     20,                      0,                      0,                      0,                0.23882,                0.01756,                0.03559,                0.01567,                 3.3266,                 7.7832,                 49.737,              0.0006768,              0.0006768,              0.0006768
                     21,                      0,                      0,                      0,                0.23882,                0.01756,                0.03559,                0.01567,                0.24234,                0.36133,                0.90487,             0.00062179,             0.00062179,             0.00062179
                     22,                      0,                      0,                      0,                0.23882,                0.01756,                0.03559,                0.01567,                0.10431,                0.13477,                 0.1648,             0.00056678,             0.00056678,             0.00056678
                     23,                      0,                      0,                      0,                0.23882,                0.01756,                0.03559,                0.01567,                0.09105,                0.12466,                0.12808,             0.00051177,             0.00051177,             0.00051177
                     24,                      0,                      0,                      0,                0.23882,                0.01756,                0.03559,                0.01567,                0.00042,                0.00059,                0.00047,             0.00045676,             0.00045676,             0.00045676
                     25,                      0,                      0,                      0,                0.23882,                0.01756,                0.03559,                0.01567,                      0,                      0,                      0,             0.00040175,             0.00040175,             0.00040175
                     26,                      0,                      0,                      0,                0.23882,                0.01756,                0.03559,                0.01567,                  0.545,                 1.5552,                 2.6874,             0.00034674,             0.00034674,             0.00034674
                     27,                      0,                      0,                      0,                0.23882,                0.01756,                0.03559,                0.01567,                0.03614,                0.28418,                0.12397,             0.00029172,             0.00029172,             0.00029172
                     28,                      0,                      0,                      0,                0.23882,                0.01756,                0.03559,                0.01567,                 1.1534,                 4.9961,                 11.649,             0.00023671,             0.00023671,             0.00023671
                     29,                      0,                      0,                      0,                0.23882,                0.01756,                0.03559,                0.01567,                 1.2312,                 10.732,                 35.054,              0.0001817,              0.0001817,              0.0001817
                     30,                      0,                      0,                      0,                0.23882,                0.01756,                0.03559,                0.01567,                 1.2838,                 7.7318,                  23.43,             0.00012669,             0.00012669,             0.00012669
